timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-12-06T01:28:30,codecarbon,8d55a0ea-f22e-4d43-9583-cfad5b9225d7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,59.83477259999927,0.0002651816121858,4.431898052970331e-06,42.5,6.883536905097445,17.66854476928711,0.0007063799565971,0.000116144259582,0.0002936116831505,0.0011161358993297,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T01:29:07,codecarbon,f27cf280-c445-4c61-8f52-3951b4f7c35b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.7178813999998965,2.096732117518226e-05,4.444223878790747e-06,42.5,7.186395169513138,17.66854476928711,5.5696608888898594e-05,9.412785307999494e-06,2.3140992711512056e-05,8.825038690841015e-05,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T01:29:44,codecarbon,a6f069b1-65bf-4410-8797-422e62977dd7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.702310200002103,1.6539322577286516e-05,4.467297898830066e-06,42.5,7.532724159600833,17.66854476928711,4.3707047222222985e-05,7.743895083997532e-06,1.8162224032652567e-05,6.961316633887308e-05,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T01:31:24,codecarbon,153e8cd0-57df-422d-a114-55d97f37ac8c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,64.56025969999973,0.0002870578926871,4.446355916489238e-06,42.5,6.439416867982966,17.66854476928711,0.0007621651177777,0.00012923760339,0.0003168093285785,0.0012082120497463,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T13:28:15,codecarbon,ad5907d5-cc92-467a-84a1-20b5a2d3a93e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,954.8326755000016,0.0132069650190064,1.3831706180447323e-05,42.5,160.18171576076958,17.66854476928711,0.0112722663158335,0.039629354481236,0.0046858223042795,0.055587443101349,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T13:36:50,codecarbon,70883efe-45af-40d8-8ef5-67b1a0e55404,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,26.34836119999818,0.00034310315821,1.302180259355418e-05,42.5,143.1563313286831,17.66854476928711,0.000311055281736,0.0010037416363259,0.0001293067997448,0.0014441037178069,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T13:45:08,codecarbon,4d2ca7d8-6214-49c2-b46a-919deb29a707,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.57105889999366,0.0001815791656159,1.2461631434077124e-05,42.5,128.6583633414648,17.66854476928711,0.000172018518611,0.00052072958325,7.150935793698898e-05,0.000764257459798,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T14:09:17,codecarbon,0e838a94-6d71-4287-928e-b8ee9ae1e87a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,963.3626991000056,0.0138310964598473,1.435710192305416e-05,42.5,151.11186241957452,17.66854476928711,0.0113729296790271,0.0421138470243839,0.0047276038438673,0.0582143805472784,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T14:24:58,codecarbon,402c03dc-3b2a-4180-a577-086db8b17d92,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,440.38823680000496,0.0061849587529763,1.4044332332575814e-05,42.5,146.21072468454048,17.66854476928711,0.0051990043331946,0.01867199827092,0.0021611737717964,0.0260321763759111,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T14:30:00,codecarbon,a9e82fe0-fba9-468b-82ed-46a4f25a9dc9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,20.52955469999869,0.0002166489512379,1.0553027301558928e-05,42.5,81.17539934259355,17.66854476928711,0.000242361254375,0.0005687660105679,0.0001007371363462,0.0009118644012893,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T14:34:50,codecarbon,4cc04d16-b072-4ccc-946b-e7e1941fde91,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.497191900009057,0.0001322316995192,9.121193982344476e-06,42.5,78.04151228005186,17.66854476928711,0.0001711464634722,0.0003142627514099,7.114727350427373e-05,0.0005565564883864,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T14:46:32,codecarbon,1a17b7bd-eb06-433f-8ba5-13b6a6ef8a05,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,424.1997379000095,0.0062381021497498,1.470557756737757e-05,42.5,127.39046923695405,17.66854476928711,0.0050078917888194,0.019166257555216,0.0020817048821695,0.026255854226205,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T15:05:37,codecarbon,6343cb6c-dae1-438d-8883-e83e5c6f7c78,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,866.2400459999917,0.0122696515112202,1.416426262890685e-05,42.5,146.60670366479312,17.66854476928711,0.0102263989033331,0.0371648913985559,0.0042510479849012,0.0516423382867903,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T15:15:24,codecarbon,8350c90f-167c-4815-bce3-296db17bc659,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,36.17550499999197,0.0004104925222028,1.1347250638324648e-05,42.5,87.0515613946421,17.66854476928711,0.0004270698184721,0.0011231372873979,0.0001775350126743,0.0017277421185445,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T15:24:46,codecarbon,7f399320-74f8-4adb-b45d-ee8c29e819ff,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.683135200000837,0.0002291020578201,1.0100105466025127e-05,42.5,84.01671300818596,17.66854476928711,0.0002677855878472,0.0005851821348119,0.0001113111699667,0.0009642788926259,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
2025-12-06T15:46:57,codecarbon,8bddab56-b137-4c43-b76d-70be5467df37,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,807.8719465000031,0.012174558010075722,1.506991060008998e-05,42.5,143.34556416879,17.66854476928711,0.009537335440695249,0.037740163525440046,0.00396459561768686,0.05124209458382215,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.12,2.8.0,16,AMD Ryzen 7 7700 8-Core Processor,1,1 x NVIDIA GeForce RTX 5060 Ti,-0.0991,51.5269,47.116119384765625,machine,N,1.0
