sentence_id,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
12,"[-0.0132334289373829, 0.0287159009603783, 0.0601987249683588, 0.045520550571382, 0.0372134216813719, -0.0885458274497068, 0.044901477464009, 1.264101592823863e-05, -0.0832806285470724, 0.0844648508355021, -0.0286162482370855, 0.0289523476239992, -0.1385423009924125, 0.0280179735273122, 0.0025517872418276, 0.1334577925154008, 0.0149982364964671, 0.0655772871687077, -0.0561121726204874, -0.0358362278639106, 0.0013881771010346, 0.0566393250483088, 0.0168438256951048]","[-0.0076451037155229, 0.0189516990222417, -0.0031755774838571, -0.0007519687284703, -0.0164174828667806, -0.0094256964560994, -0.0159491202287739, -0.0019221168401646, -0.0003239823017386, 0.0072994887145197, -0.0079162748795991, 0.0488733174377673, -0.0224654787834104, 0.0690701062090549, 0.0188692070888642, -0.0042276224053945, -0.0586298647695532, -0.0178665050407591, 0.0042871452954342, 0.1330126730458914, -0.023582705155734, 0.0431730253934618, -0.0010572396661727]",0.039486948252743376,0.01407701534973278,0.25539174680967747
13,"[0.1268972037069033, 0.1193441003852058, 0.1032889527268707, -0.0664310338906943, -0.0311727039515972, 0.1130420695990324]","[0.020645511283049, 0.1816234538544316, -0.010260494796625, 0.1210628191555954, -0.0034924522579587, 0.0989567086095724]",0.45221172483211847,0.049050482474371215,0.46710287780200094
14,"[0.0034083539430866, 0.0392341811602818, 0.0763323105857125, 0.0121445021868566, -0.0209687991300597, 0.0068076060852035, 0.0266376797808334, 0.0035580607363954, -0.0477163604227826, 0.1573175358353182, -0.0017048715380951, 0.0192500966368243, 0.0536097344011068, 0.0293534074444323, -0.0790055059624137, -0.0322771096107317]","[0.01012241752696, 0.0328320638186967, 0.0431423487405619, -0.0069615220854432, -0.0421414655909509, 0.004513302633801, 0.017645194945105, 0.0386620219275153, 0.0190494938408923, 0.1355849482994099, 0.0146745891244986, 0.0374988591307053, 0.0549570920958256, 0.042508819951175, -0.0678092152055398, -0.0035106407298122]",0.8879430532031725,0.8852578094597838,0.10489850277440356
15,"[0.0476313589606434, 0.0154117087367922, 0.0272102404851466, -0.0213612390216439, -0.0114761376753449, 0.0349811986088752, 0.0229395311325788, -0.0692220265045762, -0.0182564420392736, 0.0794574519386515, 0.0089136795722879, -0.0935136778862215, 0.0543566627893596, 0.0777368934359401, 0.0545312808826565, -0.003465159330517, -0.0494824177585542, -0.0774433659389615, -0.0020923474803566]","[0.0641920029455082, 0.006149707646722, 0.053696779822845, -0.0288237751418028, -0.0009610805359007, 0.0859211163043365, 0.0313320815896786, 0.0103979054125696, -0.0163963792750557, 0.0184780954354632, -0.0305709068420686, -0.0585176028562913, 0.0859211163043365, 0.0313320815896786, -0.005669849408675, 0.0259813456341383, -0.0585176028562913, -0.0511740091409239, -0.0244660735819151]",0.6964011521362352,0.6947010432394511,0.1847914555791198
16,"[0.047914299997501, 0.0629809944657608, 0.0640761621762067, 0.0661364067345857, -0.0212577725178562, 0.0353836179128848, -0.019760854600463, 0.0533827455365099, -0.0235464338911697, 0.1678635563002899, 0.0780191004741936]","[-0.0546208494809396, -0.0765470309917947, 0.0157222557576076, -0.0076185998855172, -0.0809910454498465, 0.0297366117261073, -0.0219574488872413, 0.0074631578009961, -0.0105704205712683, 0.081919229127133, 0.058274503526508]",0.39416661594881436,0.6232770820214077,0.30470033741966424
17,"[-0.0006153872236609, -0.031221492215991, 0.0172879903111606, 0.1250400065910071, -0.0111835615825839, 0.1319113950594328, 0.0262216581759275, 0.0116021426365477]","[-0.0492236673924666, 0.0109404101274579, 0.0756122788953105, 0.0401364149015764, 0.1536896292428319, 0.0748692003251767, 0.0150156848535928, 0.0625940517415896]",0.39164562427645344,0.09366620628181813,0.37109768472787275
18,"[0.0322816222906112, -0.0385131631046533, 0.1083638165146112, 0.0534093379974365, -0.0201381621882319, -0.1521250354126095]","[-0.022853275700241, -0.0422001651944341, 0.0648626813992544, 0.0427910863886768, 0.0050273353460605, -0.0823994354635486]",0.91172935492527,0.9144460823398517,0.09401152152472142
19,"[0.1359237805008888, 0.002481285482645, 0.0435815440869191, -0.0352217346808174, -0.0018042479641735, -0.0154561540111899, 0.0290047101443633, -0.1716307810274884, -0.0378139035310596, 0.0658461462007835, -0.0183909529005177, -0.0017562136636115, 0.0077630132436752, 0.0079390597529709, 0.0121689345105551, 0.0088547174236737, 0.0039355839835479, -0.0327031342312693, 0.0433314652764238, -0.0024476280086673, 0.0399928229162469, -0.0354466267162933, 0.0608115876675583, 0.0240169198368676, 0.0274269896860156, -0.0055890237902834, -0.0227848642583315]","[0.0408710628961248, -0.0783007979548842, 0.0875673157459797, 0.0135942164611308, 0.0072636901877044, 0.0875673157459797, 0.0328831166909234, -0.1023128939384944, -0.0783007979548842, 0.0875673157459797, 0.015383445123876, 0.0043232428291827, -0.0407595990730317, 0.0474128843513987, 0.0624973404607358, 0.0303483859338252, 0.0280750937506651, -0.0563996667063885, 0.0199826293006925, -0.004566972964273, 0.051448529971025, -0.0269426915235586, 0.0389064992959541, 0.0875673157459797, 0.1192707720523905, -0.0062221100557968, 0.0130413360696714]",0.6165092253593776,0.6200782558942463,0.1373209223350674
20,"[0.0635580874513834, 0.0481680633965879, -0.0283055594190955, -0.0090517215430736, 0.0225022773956879, 0.039256201009266, -0.0211040423018857, 0.0050958652282133, -0.0666981237009167, 0.0765487402677536, -0.0069489674642682]","[0.0175890293216435, 0.0979365927375946, -0.0158397462424781, -0.0853670447823884, 0.0037540970783374, 0.011200425767922, -0.0592388873565763, -0.0853670447823884, -0.0438887247458572, 0.0250151332321067, 0.0235104992119548]",0.5195293881975991,0.5999367132611817,0.2933905333669409
21,"[0.0129882143810391, -0.0227827904745936, 0.0259910938329994, 0.1092255762778222, -0.0359446315560489, -0.0030479084234684, -0.0282317246310412, 0.0807577320374548, 0.0396029180847108, 0.0908433659933507]","[-0.0208478209748602, -0.0116871511100909, 0.0062599277487753, 0.0149370330739181, 0.1544804470009979, -0.0367487441392072, -0.0113055369426762, 0.0572315753531289, 0.0121448498893782, 0.154702475151221]",0.38393969630596725,0.22185389756472731,0.3970439004685133
22,"[0.0270715242950245, 0.0053745842305943, 0.0123080982593819, 0.0135130694834515, 0.0080882440088316, 0.0328432795358821, -0.0042150217341259, -0.0065623690607026, 0.0015110910171642, -0.0247992215445265, -0.0072817899053916, -0.0132175864418968, -0.0155036997554513, 0.0532361651033473, 0.1010230354343851, -0.0497803129255771, 0.0722405327251181, 0.0031196690397337, 0.0433223115978762, -0.0079105891054496, -0.0011206515482626, 0.0420984153752215, -0.0239627850824035, -0.0571398533065803, 0.0359484963701106, -0.0227990268613211, -0.0075330195832066, -0.0119841540581546, -0.0057125160570389, -0.044724943964476, 0.0020659010291897, 0.0673639069677197, 0.0064230702950486, 0.0077682037039526]","[0.0229099319401115, 0.0055588632966835, 0.1000228376460471, -0.0046893474927703, 0.0054621946248356, -0.0114351812272119, 0.0073975040981678, -0.0024333858125453, 0.0387824414879818, -0.0447247991298054, -0.0196271589493583, 0.0496228196079446, -0.0348226283518674, 0.0354381351358304, -0.014750521515026, 0.0352104005697394, 0.0559756367931901, -0.0515994239875038, 0.0379886206427239, -0.0733882454378498, 0.0073975040981678, -0.0024333858125453, -0.0099199861817534, -0.0103681132751563, 0.051655364859514, 0.0137904236138095, -0.0348226283518674, 0.1000228376460471, 0.0352104005697394, -0.0520029507934926, -0.0348226283518674, 0.051655364859514, -0.000694031111668, -0.0101198828241357]",0.29856485421667855,0.2735598287704956,0.23689439368030704
23,"[0.0608165641315281, -0.0384740480221807, 0.0149478376843035, 0.0954732117243111, 0.1353634325787425]","[0.0044360244165978, 0.005603462687972, 0.0634032771610289, 0.0136801527995337, 0.2347591254430667]",0.771940254774232,0.6298543438912811,0.38100022086151025
24,"[-0.0076315244659781, -0.0056154464837163, -0.0086550106061622, 0.0031480278121307, -0.0193546129739843, -0.0228909466532059, 0.0402458120370283, -0.0386712047038599, 0.1023041455773636, 0.1193398846080526, 0.0063328487158287, -0.0602726696815807, -0.0141422732849605, 0.0051189199439249, -0.0927878184011206, 0.0541578350821509, -0.0274796773446723]","[0.0659790969257482, -0.0004310346086194, 0.0064646434932233, 0.0050768243420657, 0.0303961462252511, 0.0064646434932233, -0.0033034432934821, -0.0378660633516773, 0.1013314450649586, 0.1131635111268483, -0.1011178809970144, -0.0356008504606322, 0.0091955890696402, -0.0040260166111541, -0.0738693374664955, 0.0306741482666236, -0.0155417504029332]",0.7345420340777742,0.7352452408055598,0.1884898324886594
25,"[0.0382706534583121, 0.0096595336217433, 0.0191525756381452, 0.050973885692656, 0.145675239036791, 0.0402325837640091, 0.0403189889620989]","[-0.0529430571940668, -0.0274997431376158, 0.0580126148643528, 0.0201661099986503, 0.1928997110092351, 0.0964300169112243, 0.0627633506839691]",0.8395142499045053,0.7782048398826245,0.2514624023823875
26,"[0.0361369437887333, -0.0126164155662991, -0.0016818053554743, -0.0143447102745994, -0.0073416342202108, -0.0717665749543812, -0.0806804376770742]","[0.0457262751965625, 0.0160860183692217, -0.0285398310710661, -0.0209282373351674, 0.0046339872026897, 0.0035220710195505, -0.1411991920040899]",0.7263239708761549,0.6984317844727652,0.19415809870496403
27,"[0.0273923526983708, -0.0687219565734267, -0.0284283133805729, 0.0767189020407386, 0.0135042288457043, -0.007372735242825, -0.0424877114710398, 0.0818913683178834, -0.3776199890126008, -0.0232837238290812, -0.0447889585630036, 0.0636953026405535, 0.0339074763469398, 0.217813764931634]","[-0.036438323140536, -0.0699510277595763, -0.0961586518579047, 0.0658724235383884, 0.0287154697888559, -0.0961586518579047, 0.0408903318274732, -0.033697230961552, -0.3135696809565874, 0.0741126622852803, -0.016003016538422, 0.0910560247694966, -0.0097141540506737, 0.1055327030937406]",0.8332682863818938,0.8397451717740556,0.06730667810809896
28,"[-0.0313249919563531, 0.2793270479887724, -0.1754161631688475, 0.0958259804174304, 0.0021538864821195, 0.1187056973576545, -0.0208406243473291]","[0.030332838931782, 0.1207585009501545, -0.0723957054753097, 0.1067803135178875, 0.0010694621410061, 0.1510239875877891, 0.0231662407905843]",0.8500305025049004,0.8798873007087131,0.08754807823781573
29,"[0.0007507903501391, -0.0253492640331387, 0.0094700022600591, 0.0624828008003532, 0.0846961201168596, 0.0037955925799906, 0.11261444282718, -0.0539635124150663]","[-0.0521750112714717, -0.1113867793760314, 0.0727747107444942, 0.001709826307277, 0.1729017833090519, 0.1111629233519934, -0.0149743600935644, -0.0551121394607987]",0.46880478489203636,0.4434468327937586,0.2882528083628482
30,"[-0.0187455627310555, 0.0165764172852505, 0.0347936178150121, 0.0510657257691491, -0.0720638534985482, 0.0521575371967628, -0.0202830153866671, 0.1245750191737897, 0.1351316337822936, -0.0528139366651885, 0.099849083344452, -0.012568493024446, -0.0769404798193136, -0.0270595200272509, 0.038918196769373, 0.0371782114452798]","[-0.0106333926209329, 0.016800299942878, 0.0137884844006159, 0.027491473697538, -0.0339621907933871, 0.0286860930011118, -0.0508123256725078, 0.0968353576303813, 0.088726521868455, -0.0128913009047782, 0.0636934493024294, 0.0137884844006159, 0.0046619814620064, 0.0600337361358133, 0.0286860930011118, 0.0692356115084201]",0.7929396292440638,0.7850325546895691,0.2085661710705185
31,"[-0.0007711230427958, -0.0320331324473954, -0.0598163325921632, 0.0595217570080421, 0.0053962042438797, -0.004287513816962, -0.122815773152979]","[0.0013355583007617, 0.0067917647289306, 0.0141818632739185, 0.0364224480270448, 0.0510785024969306, -0.0377027413690181, -0.1675297597089134]",0.7898467526774964,0.7890109479283087,0.1108741308199045
32,"[0.0125895934179425, 0.0048549184575676, 0.0321565843187272, -0.024816061835736, 0.1710803471505642]","[-0.0086761798599415, -0.0404363302637293, 0.006651978376333, -0.0160797518260061, 0.2155067105013196]",0.9576534795869855,0.9716137941854728,0.24561591434698338
33,"[-0.0340949138626456, 0.0272048888728022, 0.0327464612782932, 0.0401062508462928, -0.0211505209445022, -0.0163262060959823, 0.0030375776113942, -0.009652876178734, -0.0116508739884011, -0.0397467184229753, 0.1076617008948233, -0.2541289431683253, -0.0682791679282672, -0.0337891736999154, -0.0034662248363019, -0.0339590088551631, 0.1124962899048114, 0.0446760745107894, -0.003390150348423, -0.0203226066951174, -0.0119028440094552, 0.1130604779464192]","[-0.0047363853052183, -0.0048086618193511, -0.0071215532688138, -0.0603319039021823, -0.0126375401982095, 0.0235339365872335, -0.0001188095039144, 0.0063505535324761, 0.0160023784161402, 0.0029328727165523, 0.0423509513491491, -0.1816404213561185, -0.1138730182185756, -0.0214966769212515, -0.0368461710339321, -0.0356177599533408, 0.0275377323423867, 0.047323691784629, -0.051691136008337, -0.0241998987364352, 0.0215947535517707, 0.0661074971765654]",0.7944410770053956,0.808373927077783,0.07038817411965749
34,"[0.0931257188785821, -0.0312923907767981, 0.1224420524667948, -0.0460323442239314, -0.0363008510321378, -0.0131426795851439, 0.0027316838968545, -0.0055414316011592, -0.0608556350925937, 0.0265822034562006, -0.0414577909978106, -0.1156429388793185, 0.2022379856789484, 0.0200990596786141, -0.0584123434964567]","[0.0527710170366266, -0.0409106752493326, 0.0298288714107936, -0.0291057119718168, -0.0052879025046635, 0.009769527454993, -0.0253527327674655, -0.0556462577704647, 0.0391667561879732, 0.0323575932645176, -0.0409106752493326, -0.171627642811944, 0.1248645353632113, -0.0052879025046635, 0.0205560768421798]",0.7455172159860877,0.7516061161764671,0.14813030461305166
35,"[-0.0095681434031575, 0.0045071246568113, -0.0112069980241358, 0.0193553841672837, 0.0128971519879996, -0.0124193734955042, 0.0058163282228633, -0.0389486701460555, 0.0265746012300951, 0.0404064133035717, 0.0679979730703053, -0.043470292679558, -0.0141254615155048, 0.005714634724427, 0.0759668439641245, -0.0363485283232876, 0.0174803551182978, 0.0332002533961915, -0.0386332198557081, 0.052511681786402, -0.009203982679335, 0.0101958917568683, -0.0100904595763293, -0.0383710055482677, -0.0114286582554794, -0.0056240907711484, 0.0090751510737887, -0.0498753128763796, 0.0025783194737, -0.013165819222431, -0.0070422597893955, -0.0123005716852819, -0.0150089526689587, -0.007514580392059, -0.0328127032907345]","[-0.0225362505906414, -0.0065058416825394, 0.0097184232020145, -0.0051192065774269, -0.0373528090138643, 0.0180399099242717, 0.0210926612377735, -0.0161936205587619, 0.0077537881890984, 0.0031179901228098, 0.0026582953447374, 0.0246706540870329, -0.0277980395523698, 0.0134024364678561, 0.0519214839408433, -0.0273262668417564, 0.0031396187357474, 0.0077537881890984, 0.0024039770488363, 0.0519214839408433, 0.0124129516693099, 0.0180399099242717, -0.0002547333024519, -0.0118932388260661, -0.0127749433847527, 0.0007765636874346, 0.004672345525302, -0.0048403055194729, 0.0180399099242717, 0.0096597694089553, -0.0102251050518845, 0.0152374466502703, 0.0011591968473301, 0.0227292762653386, 0.0028064291982081]",0.41531475589763167,0.43151948696517345,0.2400780173980181
36,"[0.0108143733814358, 0.0092759067192673, -0.0761399082839489, 0.0733470488339662, -0.0196083843475207, -0.0487971788970753, 0.0193225829862058, -0.1666270558489486, 0.2179420158499851]","[-0.0165300781955568, 0.0170568800902191, 0.0067481375262154, 0.0314117164118962, 0.0047715927994832, -0.0026114066422712, -0.0205441341947132, -0.0499258275923181, 0.0849932729840021]",0.8692051960859473,0.8785252329136597,0.1201183522663008
37,"[0.1981615265831351, 0.0580200878903269, 0.0319928461685776, 0.0247925389558076, 0.0482647037133574, 0.0346842478029429, 0.0371007804060354, -0.0353734114905819, -0.048424525768496, 0.0359321477590128, 0.0026243643369525, 0.0352739773225039, -0.0243797488801646, 0.0894547892094124, 0.164649516576901, 0.007774872938171, -0.1473919845884665, 0.2349095948738977]","[0.1646097521581824, -0.0341921989527485, 0.0564615871279598, -0.0051559917890235, 0.0281458825231631, 0.0086715623533401, 0.0192736034727399, 0.0478936116257121, -0.0508701407654168, -0.0013753279208641, -0.0275351397549556, 0.1016696780245639, -0.0235955364397618, 0.089779320303813, 0.1764428032588227, 0.0855872745421688, -0.0100482533714199, 0.2052267695320652]",0.8337083595411071,0.7911854553096165,0.2243999018626074
38,"[0.0809814867097884, -0.0519394266884774, -0.0130807363893836, 0.0205383384600281, 0.4869576713535934, 0.1042479015886783, 0.0468118475982919, -0.1905754829058423, -0.0416042699944227, -0.0976724887732416, 0.0217275703325867]","[0.0771159853134171, 0.0249359121107576, 0.0254962771191701, -0.0396150996842302, 0.3871782048183641, -0.03385036929026, 0.0145800548410415, -0.0793625797523342, -0.0185487926595556, -0.0262700162520644, 0.0439547887762148]",0.914680991824986,0.9127076179461773,0.157874886833711
